open,high,low,close,totalvolume,timestamp
178.05,178.05,178.0,178.01,15607,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.02,17597,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.02,17697,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.03,18407,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.01,21016,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.02,22166,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.01,22616,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.02,37892,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.01,44858,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.01,46358,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.01,49329,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.0,53173,2025-08-22T19:29:00Z
178.05,178.05,177.99,177.99,56773,2025-08-22T19:29:00Z
178.05,178.05,177.99,178.0,59488,2025-08-22T19:29:00Z
178.05,178.05,177.99,178.0,61188,2025-08-22T19:29:00Z
178.05,178.05,177.99,178.0,65169,2025-08-22T19:29:00Z
178.05,178.05,177.98,177.99,70204,2025-08-22T19:29:00Z
178.05,178.05,177.98,177.98,70704,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.96,82921,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.98,88832,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,97132,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,100908,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,106268,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,108164,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,109049,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,117194,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,117294,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,119861,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,119961,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,120561,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,123364,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,123832,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,124332,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,126299,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,126899,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,127524,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,129871,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,133346,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.0,133785,2025-08-22T19:29:00Z
178.05,178.05,177.96,177.99,134135,2025-08-22T19:29:00Z
178.05,178.05,177.96,178.01,137156,2025-08-22T19:29:00Z
178.05,178.06,177.96,178.06,144884,2025-08-22T19:29:00Z
